Group Indicator,Chip ID,Time,Method/Kit,Target/Analyte,Result,Result Unit,Dilution,Location,Note (optional),Flag (optional),Replicate (optional),TCTCxRef (optional),Cell Count,Sample Duration,Sample Volume (µL)
0.1uM Vincristine Treated,Blank_P4_A1,2.0.0,LC-MS/MS,Vincristine,0.087921478,umol/L,1,effluent,,W,1,,0,1,10
0.1uM Vincristine Treated,Blank_P4_A2,2.0.0,LC-MS/MS,Vincristine,0.11525848,umol/L,1,effluent,,O,2,,0,1,
0.1uM Vincristine Treated,Blank_P4_A3,2.0.0,LC-MS/MS,Vincristine,0.141038172,umol/L,1,effluent,,F,3,,0,1,
0.1uM Vincristine Treated,Blank_P4_A1,3.0.0,LC-MS/MS,Vincristine,0.018560284,umol/L,1,effluent,note test,,1,,0,1,
0.1uM Vincristine Treated,Blank_P4_A2,3.0.0,LC-MS/MS,Vincristine,0.019939396,umol/L,1,effluent,,,2,,0,1,
0.1uM Vincristine Treated,Blank_P4_A3,3.0.0,LC-MS/MS,Vincristine,0.017760895,umol/L,1,effluent,,,3,,0,1,
0.1uM Vincristine Treated,Blank_P4_A1,4.0.0,LC-MS/MS,Vincristine,0.017000896,umol/L,1,effluent,,,1,,0,1,
0.1uM Vincristine Treated,Blank_P4_A2,4.0.0,LC-MS/MS,Vincristine,0.011256911,umol/L,1,effluent,,,2,,0,1,
0.1uM Vincristine Treated,Blank_P4_A3,4.0.0,LC-MS/MS,Vincristine,0.012256855,umol/L,1,effluent,,,3,,0,1,
0.1uM Vincristine Treated,Blank_P4_A1,5.0.0,LC-MS/MS,Vincristine,0.00897581,umol/L,1,effluent,,,1,,0,1,
0.1uM Vincristine Treated,Blank_P4_A2,5.0.0,LC-MS/MS,Vincristine,0.011129758,umol/L,1,effluent,,,2,,0,1,
0.1uM Vincristine Treated,Blank_P4_A3,5.0.0,LC-MS/MS,Vincristine,0.011356248,umol/L,1,effluent,,,3,,0,1,
0.1uM Vincristine Treated,Blank_P4_A1,6.0.0,LC-MS/MS,Vincristine,0.01093016,umol/L,1,effluent,,,1,,0,1,
0.1uM Vincristine Treated,Blank_P4_A2,6.0.0,LC-MS/MS,Vincristine,0.010771843,umol/L,1,effluent,,,2,,0,1,
0.1uM Vincristine Treated,Blank_P4_A3,6.0.0,LC-MS/MS,Vincristine,0.011649373,umol/L,1,effluent,,,3,,0,1,
0.1uM Vincristine Treated,Blank_P4_A1,7.0.0,LC-MS/MS,Vincristine,0.011995146,umol/L,1,effluent,,,1,,0,1,
0.1uM Vincristine Treated,Blank_P4_A2,7.0.0,LC-MS/MS,Vincristine,0.010141557,umol/L,1,effluent,,,2,,0,1,
0.1uM Vincristine Treated,test,7.0.0,LC-MS/MS,Vincristine,0.012729387,umol/L,1,test,,,3,,0,1,
0.1uM Vincristine Treated,stock,8.0.0,LC-MS/MS,Vincristine,0,umol/L,1,stock,,,1,,0,1,
